                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.0242,                 1.0518,                 1.0652,                0.52474,                0.24949,                0.19283,                 0.1387,                 1.7125,                  2.087,                  1.427,              0.0001431,              0.0001431,              0.0001431
                     91,                 1.1028,                 1.0641,                 1.0999,                0.53472,                 0.2591,                0.19838,                0.13994,                 1.7486,                 2.0294,                 1.4595,              0.0001321,              0.0001321,              0.0001321
                     92,                 1.0595,                 1.0088,                 1.0702,                0.53842,                0.24493,                0.19736,                0.14151,                 1.7173,                 2.0748,                 1.4335,              0.0001211,              0.0001211,              0.0001211
                     93,                 1.0455,                 1.0073,                 1.0699,                0.53809,                0.24822,                0.19992,                0.14383,                 1.7178,                 2.0385,                 1.4327,              0.0001101,              0.0001101,              0.0001101
                     94,                 1.0258,                0.99678,                 1.0565,                0.52484,                0.24559,                0.19585,                 0.1427,                 1.7178,                 2.0907,                 1.4268,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                 1.0183,                0.98442,                 1.0565,                 0.5078,                0.25133,                0.19391,                   0.14,                 1.7245,                 2.0987,                 1.4381,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                 1.0148,                0.97731,                 1.0576,                0.51248,                0.24864,                0.19339,                0.13923,                 1.7084,                 2.1087,                 1.4244,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                 1.0154,                 0.9609,                 1.0585,                0.50697,                0.24508,                0.19459,                0.14218,                 1.7249,                  2.156,                 1.4364,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.99889,                0.95707,                 1.0511,                0.50837,                0.24641,                0.19928,                0.14387,                 1.7161,                 2.1146,                 1.4299,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                 1.0043,                 0.9569,                 1.0472,                0.52185,                0.24112,                0.19723,                0.14213,                 1.7208,                 2.1424,                 1.4317,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.99759,                0.95881,                 1.0484,                0.52697,                0.24624,                0.19825,                0.14273,                 1.7153,                 2.1122,                 1.4286,             3.3108e-05,             3.3108e-05,             3.3108e-05
